cell_type,f1,precision,recall,support,fold
"CD16-positive, CD56-dim natural killer cell, human",0.7426326129666012,0.6156351791530945,0.9356435643564357,202.0,5
T-helper 22 cell,0.14479638009049775,0.3076923076923077,0.09467455621301775,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.5437500000000001,0.4306930693069307,0.7372881355932204,236.0,5
"effector CD8-positive, alpha-beta T cell",0.23931623931623933,0.2153846153846154,0.2692307692307692,52.0,5
"effector memory CD8-positive, alpha-beta T cell",0.17687074829931973,0.14606741573033707,0.22413793103448276,58.0,5
gamma-delta T cell,0.0,0.0,0.0,103.0,5
mature NK T cell,0.8907563025210083,0.9636363636363636,0.828125,64.0,5
mucosal invariant T cell,0.03125,0.16666666666666666,0.017241379310344827,58.0,5
naive B cell,0.9958847736625513,0.9918032786885246,1.0,121.0,5
"naive thymus-derived CD4-positive, alpha-beta T cell",0.5298196948682385,0.4602409638554217,0.6241830065359477,306.0,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0.03529411764705882,0.13636363636363635,0.02027027027027027,148.0,5
